id,title,category,source,tags,source_url
arxiv_2602.14211v3,SkillJect: Effectively Automating Skill-Based Prompt Injection for Skill-Enabled Agents,cs.CR,ArXiv,,http://arxiv.org/abs/2602.14211v3
arxiv_2605.28734v2,Code as a Weapon: A Consensus-Labeled Prompt Bank for Measuring Coding-Model Compliance with Malicious-Code Requests,cs.CR,ArXiv,,http://arxiv.org/abs/2605.28734v2
arxiv_2606.07150v3,From Privacy to Workflow Integrity: Communication-Graph Metadata in Autonomous Agent Interoperability,cs.CR,ArXiv,,http://arxiv.org/abs/2606.07150v3
arxiv_2606.14629v1,When Good Verifiers Go Bad: Self-Improving VLMs Can Regress on New Tasks,cs.CR,ArXiv,,http://arxiv.org/abs/2606.14629v1
arxiv_2606.18193v1,A Red-Team Study of Anthropic Fable 5 & Opus 4.8 Models,cs.CR,ArXiv,,http://arxiv.org/abs/2606.18193v1
arxiv_2606.18198v1,Seeing Is Not Screening: Multimodal Hidden Instruction Attacks on Agent Skill Scanners,cs.CR,ArXiv,,http://arxiv.org/abs/2606.18198v1
arxiv_2606.18223v1,Learning Red Agent Policy from Observations for Neurosymbolic Autonomous Cyber Agents,cs.CR,ArXiv,,http://arxiv.org/abs/2606.18223v1
arxiv_2606.20470v1,Analyzing Defensive Misdirection Against Model-Guided Automated Attacks on Agentic AI Systems,cs.CR,ArXiv,,http://arxiv.org/abs/2606.20470v1
arxiv_2606.20502v1,Calibration Without Comprehension: Diagnosing the Limits of Fine-Tuning LLMs for Vulnerability Detection in Systems Software,cs.CR,ArXiv,,http://arxiv.org/abs/2606.20502v1
arxiv_2606.20510v1,Efficient and Sound Probabilistic Verification for AI Agents,cs.CR,ArXiv,,http://arxiv.org/abs/2606.20510v1
arxiv_2606.20520v1,Sovereign Execution Brokers: Enforcing Certificate-Bound Authority in Agentic Control Planes,cs.CR,ArXiv,,http://arxiv.org/abs/2606.20520v1
arxiv_2607.15263v1,Beyond Success Rate: Cost-Aware Evaluation of Offensive and Defensive Security Agents,cs.CR,ArXiv,,http://arxiv.org/abs/2607.15263v1
